Year	tree ring data
2926	236.67
2927	241.77
2928	289.46
2929	333.66
2930	349.95
2931	241.49
2932	170.63
2933	150.57
2934	200.82
2935	198.86
2936	199
2937	213.68
2938	195.85
2939	232.4
2940	272.97
2941	233.41
2942	172.02
2943	172.19
2944	171.89
2945	249.95
2946	260.26
2947	278.54
2948	243.7
2949	257.12
2950	254.43
2951	266.13
2952	223.44
2953	198.23
2954	203.55
2955	176.71
2956	240.96
2957	257.86
2958	324.77
2959	265.97
2960	259.19
2961	216.13
2962	189.85
2963	181.23
2964	222.45
2965	285.95
2966	307.77
2967	325.99
2968	363.39
2969	332.68
2970	288.41
2971	228.31
2972	252.18
2973	268.38
2974	283.3
2975	233.66
2976	218.73
2977	188.19
2978	200.08
2979	172.65
2980	221.05
2981	208.15
2982	256.69
2983	227.74
2984	240.47
2985	202.77
2986	176.88
2987	180.74
2988	208.49
2989	245.17
2990	248.15
2991	293.04
2992	290.01
2993	340.65
2994	322.21
2995	287.75
2996	222.36
2997	309.88
2998	244.63
2999	241.93
3000	189.26
3001	236.86
3002	224.75
3003	183.27
3004	174.8
3005	189.33
3006	235.48
3007	238.79
3008	234.89
3009	216.26
3010	219.29
3011	179.11
3012	217.95
3013	5215.9
3014	250.91
3015	262.28
3016	252.65
3017	283.87
3018	267.51
3019	247.18
3020	192.47
3021	192.75
3022	220.43
3023	205.84
3024	206.55
3025	227.29
3026	228.78
3027	209.41
3028	167.92
3029	204.88
3030	245.08
3031	264.68
3032	248.99
3033	219.53
3034	200.24
3035	197.41
3036	210.36
3037	225.5
3038	279.52
3039	1283.7
3040	307.85
3041	298.84
3042	255.34
3043	210.36
3044	192.73
3045	191.7
3046	196.02
3047	197.58
3048	186.26
3049	206.46
3050	205.72
3051	200.04
3052	199.24
3053	208.6
3054	222.09
3055	212.48
3056	216.68
3057	205.27
3058	220.7
3059	203.53
3060	246.49
3061	319.28
3062	400.44
3063	393.23
3064	301.81
3065	164.34
3066	121.62
3067	155.29
3068	167.75
3069	177.26
3070	159.59
3071	198.81
3072	212.34
3073	261.53
3074	276.77
3075	301.32
3076	259.31
3077	209.71
3078	163.11
3079	1161.2
3080	228.96
3081	305.49
3082	275.99
3083	234.63
3084	192.17
3085	219.67
3086	239.28
3087	264.46
3088	231.37
3089	199.41
3090	196.2
3091	216.21
3092	252.93
3093	231.13
3094	220.91
3095	218.38
3096	256.06
3097	255.11
3098	237.89
3099	228
3100	274.25
3101	253.75
3102	258.51
3103	238.01
3104	255.77
3105	222.27
3106	197.55
3107	163.98
3108	178.47
3109	169
3110	132.25
3111	151.59
3112	177.27
3113	218.47
3114	265.55
3115	289.79
3116	284.52
3117	253.55
3118	189
3119	208.27
3120	184.22
3121	179.16
3122	203.65
3123	231.34
3124	253.77
3125	259.28
3126	238.48
3127	222.29
3128	232.74
3129	239.53
3130	227.78
3131	243.45
3132	237.33
3133	246.49
3134	209.87
3135	251.34
3136	225.05
